plan_id,task,generation,status,error_categories,distinct_error_codes,verdict,notes
plan-01-01,01,01,valid,,0,pass,
plan-01-02,01,02,valid,,0,pass,
plan-01-03,01,03,valid,,0,pass,
plan-02-01,02,01,valid,,0,pass,
plan-02-02,02,02,valid,,0,pass,
plan-02-03,02,03,valid,,0,pass,
plan-03-01,03,01,valid,,0,pass,
plan-03-02,03,02,valid,,0,pass,
plan-03-03,03,03,valid,,0,pass,
plan-04-01,04,01,valid,,0,pass,
plan-04-02,04,02,valid,,0,pass,
plan-04-03,04,03,valid,,0,pass,
plan-05-01,05,01,invalid,CR-1,1,unclassified,
plan-05-02,05,02,valid,,0,pass,
plan-05-03,05,03,valid,,0,pass,
plan-06-01,06,01,valid,,0,pass,
plan-06-02,06,02,valid,,0,pass,
plan-06-03,06,03,valid,,0,pass,
plan-07-01,07,01,valid,,0,pass,
plan-07-02,07,02,valid,,0,pass,
plan-07-03,07,03,valid,,0,pass,
plan-08-01,08,01,valid,,0,pass,
plan-08-02,08,02,valid,,0,pass,
plan-08-03,08,03,valid,,0,pass,
plan-09-01,09,01,valid,,0,pass,
plan-09-02,09,02,valid,,0,pass,
plan-09-03,09,03,valid,,0,pass,
plan-10-01,10,01,valid,,0,pass,
plan-10-02,10,02,valid,,0,pass,
plan-10-03,10,03,valid,,0,pass,
